year_film,year_award,ceremony,category,nominee,film,win
1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Ali MacGraw,Love Story,True
1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Faye Dunaway,Puzzle of a Downfall Child,False
1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,Women In Love,False
1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Melina Mercouri,Promise at Dawn,False
1970,1971,28,Best Performance by an Actress in a Motion Picture - Drama,Sarah Miles,Ryan's Daughter,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,George C. Scott,Patton,True
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Melvyn Douglas,I Never Sang For My Father,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,James Earl Jones,"Great White Hope, The",False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Five Easy Pieces,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Drama,Ryan O'Neal,Love Story,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Albert Finney,Scrooge,True
1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Richard Benjamin,Diary of a Mad Housewife,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Elliott Gould,M*A*S*H,False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jack Lemmon,"Out-of-Towners, The",False
1970,1971,28,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Donald Sutherland,M*A*S*H,False
1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Karen Black,Five Easy Pieces,True
1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Airport,True
1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lee Grant,"Landlord, The",False
1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sally Kellerman,M*A*S*H,False
1970,1971,28,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tina Chen,"Hawaiians, The",False
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Mills,Ryan's Daughter,True
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,Chief Dan George,Little Big Man,False
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,Trevor Howard,Ryan's Daughter,False
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Kennedy,Airport,False
1970,1971,28,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Marley,Love Story,False
1970,1971,28,Best Director - Motion Picture,Arthur Hiller,Love Story,True
1970,1971,28,Best Director - Motion Picture,Robert Altman,M*A*S*H,False
1970,1971,28,Best Director - Motion Picture,Bob Rafelson,Five Easy Pieces,False
1970,1971,28,Best Director - Motion Picture,Ken Russell,Women In Love,False
1970,1971,28,Best Director - Motion Picture,Franklin J. Schaffner,Patton,False
1970,1971,28,Best Screenplay - Motion Picture,Erich Segal,Love Story,True
1970,1971,28,Best Screenplay - Motion Picture,Leslie Bricusse,Scrooge,False
1970,1971,28,Best Screenplay - Motion Picture,Carole Eastman,Five Easy Pieces,False
1970,1971,28,Best Screenplay - Motion Picture,John Cassavetes,Husbands,False
1970,1971,28,Best Screenplay - Motion Picture,Ring Lardner Jr.,M*A*S*H,False
1970,1971,28,Best Original Score - Motion Picture,Francis Lai,Love Story,True
1970,1971,28,Best Original Score - Motion Picture,Michel Legrand,Wuthering Heights,False
1970,1971,28,Best Original Score - Motion Picture,Alfred Newman,Airport,False
1970,1971,28,Best Original Score - Motion Picture,Frank Cordell,Cromwell,False
1970,1971,28,Best Original Score - Motion Picture,Leslie Bricusse,Scrooge,False
1970,1971,28,Best Original Song - Motion Picture,"Whistling Away the Dark, Henry Mancini, Johnny Mercer",Darling Lili,True
1970,1971,28,Best Original Song - Motion Picture,"Ballad of Little Fauss, Carl Perkins, Johnny Cash",Little Fauss and Big Halsey,False
1970,1971,28,Best Original Song - Motion Picture,"Pieces of Dreams, Michel Legrand, Alan Bergman, Marilyn Bergman",Pieces of Dreams,False
1970,1971,28,Best Original Song - Motion Picture,"Thank You Very Much, Leslie Bricusse",Scrooge,False
1970,1971,28,Best Original Song - Motion Picture,"Till Love Touches Your Life, Riz Ortolani, Arthur Hamilton",Madron,False
1970,1971,28,Best Performance by an Actress In A Television Series - Drama,Peggy Lipton,"Mod Squad, The",True
1970,1971,28,Best Performance by an Actress In A Television Series - Drama,Amanda Blake,Gunsmoke,False
1970,1971,28,Best Performance by an Actress In A Television Series - Drama,Linda Cristal,High Chaparral,False
1970,1971,28,Best Performance by an Actress In A Television Series - Drama,Yvette Mimieux,"Most Deadly Game, The",False
1970,1971,28,Best Performance by an Actress In A Television Series - Drama,Denise Nicholas,Room 222,False
1970,1971,28,Best Performance by an Actor In A Television Series - Drama,Peter Graves,Mission: Impossible,True
1970,1971,28,Best Performance by an Actor In A Television Series - Drama,Robert Young,"Marcus Welby, M.D.",False
1970,1971,28,Best Performance by an Actor In A Television Series - Drama,Mike Connors,Mannix,False
1970,1971,28,Best Performance by an Actor In A Television Series - Drama,Chad Everett,Medical Center,False
1970,1971,28,Best Performance by an Actor In A Television Series - Drama,Burt Reynolds,Dan August,False
1970,1971,28,Best Performance by an Actress in a Television Series - Musical or Comedy,Mary Tyler Moore,"Mary Tyler Moore Show, The",True
1970,1971,28,Best Performance by an Actress in a Television Series - Musical or Comedy,Lucille Ball,Here's Lucy,False
1970,1971,28,Best Performance by an Actress in a Television Series - Musical or Comedy,Shirley Jones,"Partridge Family, The",False
1970,1971,28,Best Performance by an Actress in a Television Series - Musical or Comedy,Juliet Mills,Nanny and The Professor,False
1970,1971,28,Best Performance by an Actress in a Television Series - Musical or Comedy,Elizabeth Montgomery,Bewitched,False
1970,1971,28,Best Performance by an Actor in a Television Series - Musical or Comedy,Flip Wilson,"Flip Wilson Show, The",True
1970,1971,28,Best Performance by an Actor in a Television Series - Musical or Comedy,Herschel Bernardi,Arnie,False
1970,1971,28,Best Performance by an Actor in a Television Series - Musical or Comedy,David Frost,"David Frost Show, The",False
1970,1971,28,Best Performance by an Actor in a Television Series - Musical or Comedy,Merv Griffin,"Merv Griffin Show, The",False
1970,1971,28,Best Performance by an Actor in a Television Series - Musical or Comedy,Danny Thomas,Make Room For Granddaddy,False
1970,1971,28,New Star Of The Year - Actress,Carrie Snodgress,Diary of a Mad Housewife,True
1970,1971,28,New Star Of The Year - Actress,Anna Calder Marshall,"Pussycat, Pussycat, I Love You",False
1970,1971,28,New Star Of The Year - Actress,Marlo Thomas,Jenny,False
1970,1971,28,New Star Of The Year - Actress,Angel Tompkins,I Love My Wife,False
1970,1971,28,New Star Of The Year - Actress,Jane Alexander,"Great White Hope, The",False
1970,1971,28,New Star Of The Year - Actress,Lola Falana,"Liberation of L. B. Jones, The",False
1970,1971,28,New Star Of The Year - Actor,James Earl Jones,"Great White Hope, The",True
1970,1971,28,New Star Of The Year - Actor,Frank Langella,Diary of a Mad Housewife,False
1970,1971,28,New Star Of The Year - Actor,Joe Namath,Norwood,False
1970,1971,28,New Star Of The Year - Actor,Kenneth Nelson,"Boys in the Band, The",False
1970,1971,28,New Star Of The Year - Actor,Assaf Dayan,Promise at Dawn,False
1970,1971,28,Actress In A Leading Role - Musical Or Comedy,Carrie Snodgress,Diary of a Mad Housewife,True
1970,1971,28,Actress In A Leading Role - Musical Or Comedy,Julie Andrews,Darling Lili,False
1970,1971,28,Actress In A Leading Role - Musical Or Comedy,Sandy Dennis,"Out-of-Towners, The",False
1970,1971,28,Actress In A Leading Role - Musical Or Comedy,Angela Lansbury,Something for Everyone,False
1970,1971,28,Actress In A Leading Role - Musical Or Comedy,Barbra Streisand,"Owl and The Pussycat, The",False
1970,1971,28,Actor In A Supporting Role - Television Series,James Brolin,"Marcus Welby, M.D.",True
1970,1971,28,Actor In A Supporting Role - Television Series,Zalman King,"Young Lawyers, The",False
1970,1971,28,Actor In A Supporting Role - Television Series,Tige Andrews,"Mod Squad, The",False
1970,1971,28,Actor In A Supporting Role - Television Series,Michael Constantine,Room 222,False
1970,1971,28,Actor In A Supporting Role - Television Series,Henry Gibson,Rowan & Martin's Laugh-In,False
1970,1971,28,Actress In A Supporting Role - Television Series,Gail Fisher,Mannix,True
1970,1971,28,Actress In A Supporting Role - Television Series,Sue Ane Langdon,Arnie,False
1970,1971,28,Actress In A Supporting Role - Television Series,Miyoshi Umeki,"Courtship Of Eddie's Father, The",False
1970,1971,28,Actress In A Supporting Role - Television Series,Karen Valentine,Room 222,False
1970,1971,28,Actress In A Supporting Role - Television Series,Lesley Warren,Mission: Impossible,False
1970,1971,28,Foreign Film - Foreign Language,"France, René Clément",Rider on the Rain,True
1970,1971,28,Foreign Film - Foreign Language,"Italy, Jacques Deray",Borsalino,False
1970,1971,28,Foreign Film - Foreign Language,"France, Constantin Costa-Gavras","Confession, The",False
1970,1971,28,Foreign Film - Foreign Language,"Italy, Elio Petri",Investigation of a Citizen Above Suspicion,False
1970,1971,28,Foreign Film - Foreign Language,"Israel, Moshé Mizrahi",The Customer of the Off Season,False
1970,1971,28,Foreign Film - English Language,"United Kingdom, Ken Russell",Women In Love,True
1970,1971,28,Foreign Film - English Language,"Canada, Paul Almond",Act of the Heart,False
1970,1971,28,Foreign Film - English Language,"United Kingdom, Richard Harris, Uri Zohar",Bloomfield,False
1970,1971,28,Foreign Film - English Language,"United Kingdom, Christopher Miles","Virgin and the Gypsy, The",False
1970,1971,28,Foreign Film - English Language,"Japan, Keith Larsen, Koji Senno, Nobuaki Shirai","Walking Major, The",False
1971,1972,29,Best Performance by an Actress in a Motion Picture - Drama,Jane Fonda,Klute,True
1971,1972,29,Best Performance by an Actress in a Motion Picture - Drama,Dyan Cannon,Such Good Friends,False
1971,1972,29,Best Performance by an Actress in a Motion Picture - Drama,Glenda Jackson,"Mary, Queen of Scots",False
1971,1972,29,Best Performance by an Actress in a Motion Picture - Drama,Vanessa Redgrave,"Mary, Queen of Scots",False
1971,1972,29,Best Performance by an Actress in a Motion Picture - Drama,Jessica Walter,Play Misty for Me,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Drama,Gene Hackman,"French Connection, The",True
1971,1972,29,Best Performance by an Actor in a Motion Picture - Drama,George C. Scott,The Hospital,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Drama,Peter Finch,Sunday Bloody Sunday,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Drama,Malcolm McDowell,"Clockwork Orange, A",False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Drama,Jack Nicholson,Carnal Knowledge,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Musical or Comedy, Topol,Fiddler on the Roof,True
1971,1972,29,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bud Cort,Harold and Maude,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Dean Jones,"$1,000,000 Duck",False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Walter Matthau,Kotch,False
1971,1972,29,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Gene Wilder,Willy Wonka & The Chocolate Factory,False
1971,1972,29,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ann-Margret,Carnal Knowledge,True
1971,1972,29,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cloris Leachman,"Last Picture Show, The",False
1971,1972,29,Best Performance by an Actress in a Supporting Role in any Motion Picture,Diana Rigg,The Hospital,False
1971,1972,29,Best Performance by an Actress in a Supporting Role in any Motion Picture,Maureen Stapleton,Plaza Suite,False
1971,1972,29,Best Performance by an Actress in a Supporting Role in any Motion Picture,Ellen Burstyn,"Last Picture Show, The",False
1971,1972,29,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Johnson,"Last Picture Show, The",True
1971,1972,29,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Baker,Nicholas and Alexandra,False
1971,1972,29,Best Performance by an Actor in a Supporting Role in any Motion Picture,Art Garfunkel,Carnal Knowledge,False
1971,1972,29,Best Performance by an Actor in a Supporting Role in any Motion Picture,Paul Mann,Fiddler on the Roof,False
1971,1972,29,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jan-Michael Vincent,Going Home,False
1971,1972,29,Best Director - Motion Picture,William Friedkin,"French Connection, The",True
1971,1972,29,Best Director - Motion Picture,Peter Bogdanovich,"Last Picture Show, The",False
1971,1972,29,Best Director - Motion Picture,Norman Jewison,Fiddler on the Roof,False
1971,1972,29,Best Director - Motion Picture,Stanley Kubrick,"Clockwork Orange, A",False
1971,1972,29,Best Director - Motion Picture,Robert Mulligan,Summer of '42,False
1971,1972,29,Best Screenplay - Motion Picture,Paddy Chayefsky,The Hospital,True
1971,1972,29,Best Screenplay - Motion Picture,John Hale,"Mary, Queen of Scots",False
1971,1972,29,Best Screenplay - Motion Picture,Ernest Tidyman,"French Connection, The",False
1971,1972,29,Best Screenplay - Motion Picture,Andy Lewis,Klute,False
1971,1972,29,Best Screenplay - Motion Picture,John Paxton,Kotch,False
1971,1972,29,Best Original Score - Motion Picture,Isaac Hayes,Shaft,True
1971,1972,29,Best Original Score - Motion Picture,Michel Legrand,Summer of '42,False
1971,1972,29,Best Original Score - Motion Picture,Gil Melle,"Andromeda Strain, The",False
1971,1972,29,Best Original Score - Motion Picture,Michel Legrand,Le Mans,False
1971,1972,29,Best Original Score - Motion Picture,John Barry,"Mary, Queen of Scots",False
1971,1972,29,Best Original Song - Motion Picture,"Life Is What You Make It, Marvin Hamlisch, Johnny Mercer",Kotch,True
1971,1972,29,Best Original Song - Motion Picture,"Long Ago Tomorrow, Burt Bacharach, Hal David",Long Ago Tomorrow,False
1971,1972,29,Best Original Song - Motion Picture,"Rain Falls Anywhere It Wants To, Laurence Rosenthal, Alan Bergman, Marilyn Bergman","African Elephant, The",False
1971,1972,29,Best Original Song - Motion Picture,"Something More, Quincy Jones",Honky,False
1971,1972,29,Best Original Song - Motion Picture,"Theme From Shaft, Isaac Hayes",Shaft,False
1971,1972,29,New Star Of The Year - Actress,Twiggy,"Boy Friend, The",True
1971,1972,29,New Star Of The Year - Actress,Sandy Duncan,"$1,000,000 Duck",False
1971,1972,29,New Star Of The Year - Actress,Cybill Shepherd,"Last Picture Show, The",False
1971,1972,29,New Star Of The Year - Actress,Janet Suzman,Nicholas and Alexandra,False
1971,1972,29,New Star Of The Year - Actress,Delores Taylor,Billy Jack,False
1971,1972,29,New Star Of The Year - Actor,Desi Arnaz Jr.,Red Sky at Morning,True
1971,1972,29,New Star Of The Year - Actor,Tom Baker,Nicholas and Alexandra,False
1971,1972,29,New Star Of The Year - Actor,Timothy Bottoms,Johnny Got His Gun,False
1971,1972,29,New Star Of The Year - Actor,Gary Grimes,Summer of '42,False
1971,1972,29,New Star Of The Year - Actor,Richard Roundtree,Shaft,False
1971,1972,29,New Star Of The Year - Actor,John Sarno,"Seven Minutes, The",False
1971,1972,29,Actress In A Supporting Role - Series Or Television Movie,Sue Ane Langdon,Arnie,True
1971,1972,29,Actress In A Supporting Role - Series Or Television Movie,Amanda Blake,Gunsmoke,False
1971,1972,29,Actress In A Supporting Role - Series Or Television Movie,Gail Fisher,Mannix,False
1971,1972,29,Actress In A Supporting Role - Series Or Television Movie,Sally Struthers,All In The Family,False
1971,1972,29,Actress In A Supporting Role - Series Or Television Movie,Lily Tomlin,Rowan & Martin's Laugh-In,False
1971,1972,29,Actress In A Leading Role - Drama Series Or Television Movie,Patricia Neal,"Homecoming, The",True
1971,1972,29,Actress In A Leading Role - Drama Series Or Television Movie,Susan St. James,McMillan and Wife,False
1971,1972,29,Actress In A Leading Role - Drama Series Or Television Movie,Lynda Day George,Mission: Impossible,False
1971,1972,29,Actress In A Leading Role - Drama Series Or Television Movie,Peggy Lipton,"Mod Squad, The",False
1971,1972,29,Actress In A Leading Role - Drama Series Or Television Movie,Denise Nicholas,Room 222,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy,Twiggy,"Boy Friend, The",True
1971,1972,29,Actress In A Leading Role - Musical Or Comedy,Sandy Duncan,Star Spangled Girl,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy,Ruth Gordon,Harold and Maude,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy,Angela Lansbury,Bedknobs and Broomsticks,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy,Elaine May,"New Leaf, A",False
1971,1972,29,Actor In A Leading Role - Drama Series Or Television Movie,Robert Young,"Marcus Welby, M.D.",True
1971,1972,29,Actor In A Leading Role - Drama Series Or Television Movie,Peter Falk,Columbo,False
1971,1972,29,Actor In A Leading Role - Drama Series Or Television Movie,Raymond Burr,Ironside,False
1971,1972,29,Actor In A Leading Role - Drama Series Or Television Movie,Mike Connors,Mannix,False
1971,1972,29,Actor In A Leading Role - Drama Series Or Television Movie,William Conrad,Cannon,False
1971,1972,29,Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,Carroll O'Connor,All In The Family,True
1971,1972,29,Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,Herschel Bernardi,Arnie,False
1971,1972,29,Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,Jack Klugman,"Odd Couple, The (1970)",False
1971,1972,29,Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,Dick Van Dyke,"New Dick Van Dyke Show, The",False
1971,1972,29,Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,Flip Wilson,"Flip Wilson Show, The",False
1971,1972,29,Actor In A Supporting Role - Series Or Television Movie,Ed Asner,"Mary Tyler Moore Show, The",True
1971,1972,29,Actor In A Supporting Role - Series Or Television Movie,James Brolin,"Marcus Welby, M.D.",False
1971,1972,29,Actor In A Supporting Role - Series Or Television Movie,Harvey Korman,"Carol Burnett Show, The",False
1971,1972,29,Actor In A Supporting Role - Series Or Television Movie,Rob Reiner,All In The Family,False
1971,1972,29,Actor In A Supporting Role - Series Or Television Movie,Milburn Stone,Gunsmoke,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy Series Or Television Movie,Carol Burnett,"Carol Burnett Show, The",True
1971,1972,29,Actress In A Leading Role - Musical Or Comedy Series Or Television Movie,Lucille Ball,Here's Lucy,False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy Series Or Television Movie,Shirley Jones,"Partridge Family, The",False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy Series Or Television Movie,Mary Tyler Moore,"Mary Tyler Moore Show, The",False
1971,1972,29,Actress In A Leading Role - Musical Or Comedy Series Or Television Movie,Jean Stapleton,All In The Family,False
1971,1972,29,Foreign Film - Foreign Language,"Israel, Ephraim Kishon","Policeman, The",True
1971,1972,29,Foreign Film - Foreign Language,"France, Éric Rohmer",Claire's Knee,False
1971,1972,29,Foreign Film - Foreign Language,"Italy, Bernardo Bertolucci","Conformist, The",False
1971,1972,29,Foreign Film - Foreign Language,"United Soviet Socialist Republics, Igor Talankin",Tchaikovsky,False
1971,1972,29,Foreign Film - Foreign Language,"France, André Cayatte",To Die of Love,False
1971,1972,29,Foreign Film - English Language,"United Kingdom, John Schlesinger",Sunday Bloody Sunday,True
1971,1972,29,Foreign Film - English Language,"United Kingdom, Simon Trevor","African Elephant, The",False
1971,1972,29,Foreign Film - English Language,"United Kingdom, Lewis Gilbert",Friends (Foreign Language Film),False
1971,1972,29,Foreign Film - English Language,"United Kingdom, Joseph Losey","Go-Between, The",False
1971,1972,29,Foreign Film - English Language,"United Kingdom, Bryan Forbes",Long Ago Tomorrow,False
1971,1972,29,Foreign Film - English Language,"Italy, Mikhail Kalatozov","Red Tent, The",False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Drama,Liv Ullmann,"Emigrants, The",True
1972,1973,30,Best Performance by an Actress in a Motion Picture - Drama,Diana Ross,Lady Sings the Blues,False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Drama,Cicely Tyson,Sounder,False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Drama,Trish Van Devere,One Is a Lonely Number,False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Drama,Tuesday Weld,Play It as It Lays,False
1972,1973,30,Best Performance by an Actress in a Motion Picture - Drama,Joanne Woodward,"Effect of Gamma Rays on Man-In-The-Moon Marigolds, The",False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Drama,Marlon Brando,"Godfather, The",True
1972,1973,30,Best Performance by an Actor in a Motion Picture - Drama,Laurence Olivier,Sleuth,False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Drama,Michael Caine,Sleuth,False
1972,1973,30,Best Performance by an Actor in a Motion Picture - Drama,Al Pacino,"Godfather, The",False
